"DIAC_shift","DIAC_dens","X","Y","CLIM_tmax_diff_abs","DEM_elev_mn","DEM_slope_mn","DEM_TPI_mn","DEM_TWI_mn","LITH_PSed","LITH_PCry","LITH_shannon","CA_core_mn_15","AGG_clumpy_15","GP_grazed_wood","FOREST_conif","FOREST_decid","FOREST_mixed"
-17,1.617,939851.517,4712154.81,2.04838709677419,2143,23,-0.003,0.15,8.35874132969704e-12,0.765515447593421,0.965467097302316,0.0595386363636364,0.967518402428951,0,1,0,0
50,1.04,947538.793,4720636.57,2.08387096774194,2336,23,0.00035,0.17,8.35731667321198e-12,0.659129556552169,1.01395274643251,0.00385416666666667,0.885454905378993,0,1,0,0
43,4.36,893218.815,4716688.26,2.3752688172043,2317,36,-0.00059,0.1,0.197692267274451,0.488067153620604,0.985146671813328,0.0192971153846154,0.911734125322951,0,1,0,0
178.8,6.623,891852.861,4716932.85,2.35376344086021,2211,30,-0.002,0.16,8.35737450505852e-12,0.64572041458294,1.01817479476946,0.00531911764705882,0.87982026391525,0,1,0,0
-15.1999999999998,6.757,902825.294,4723884.46,2.37741935483871,2289,31,0.00014,0.13,0.644965199394224,8.3562700411558e-12,0.575149137895474,0.003155,0.926118000905655,0,1,0,0
1,3.621,910618.011,4728944.43,2.46881720430108,2249,9,0.00022,0.18,8.35547303913195e-12,8.35547303913195e-12,0.980949095800054,0.0142808823529412,0.939704640043986,0,1,0,0
34.1999999999998,3.399,902599.249,4722641.77,2.17956989247312,2263,33,0.00055,0.13,0.998649525198738,8.35648483529477e-12,0.0102612919172804,0.0212086956521739,0.949368594650495,0,1,0,0
21,2.852,913250.534,4701578.81,2.07311827956989,2130,16,0.00065,0.18,0.365610399333599,8.36036175586291e-12,0.6679144072454,0.00606968085106383,0.893202271262997,0,1,0,0
42.8000000000002,0.765,916562.084,4703409.79,2.16451612903226,2222,18,-0.00018,0.16,8.36006974204261e-12,8.36006974204261e-12,0.830958753291078,0.00569659090909091,0.909349313949648,0,1,0,0
19.1999999999998,1.016,914986.365,4702609.61,2.14731182795699,2162,13,0.00018,0.26,8.36019631613634e-12,8.36019631613634e-12,0.693147180781517,0.0175314516129032,0.931332868071535,0,1,0,0
-6.19999999999982,0.963,914057.848,4702333.28,2.13870967741936,2159,12,0.00056,0.22,8.36023671441761e-12,8.36023671441761e-12,0.696500109180116,0.0328935714285714,0.928757775973282,0,1,0,0
4.59999999999991,2.759,916374.446,4702873,2.28494623655914,2251,19,-0.00043,0.13,0.0358860294208318,8.36016213865655e-12,1.03260866685612,0.0097287037037037,0.903961691838672,0,1,0,0
56.5999999999999,2.483,919552.47,4707441.47,2.36451612903226,2334,25,0.00047,0.16,0.99999877953235,8.35936746873237e-12,6.64761217496446e-10,0.00861346153846154,0.894878668145153,0,1,0,0
12.5999999999999,0.755,916693.046,4704138.77,2.13333333333333,2153,15,0.00041,0.3,8.35994016657064e-12,8.35994016657064e-12,0.693147180781437,0.0465732142857143,0.949172849843506,0,1,0,0
110.6,2.336,920749.243,4707873.92,2.42795698924731,2293,28,0.00098,0.08,0.999990119304136,8.35930276125659e-12,6.64756237968845e-10,0.00580408163265306,0.880810770660182,0,1,0,0
67,0.309,929580.068,4711829.81,2.42903225806452,2381,25,-0.00063,0.12,8.35868613390179e-12,1.00000043465168,0.693147180781491,0.00269772727272727,0.857906365992896,0,1,0,0
123,1.632,921723.464,4713752.64,2.45913978494624,2387,30,0.00089,0.08,0.115903303254846,0.882370993039271,0.697865088329567,0.00579330357142857,0.882271580565389,0,1,0,0
-42,-0.433,922789.308,4713294.1,2.24516129032258,2423,34,0.00062,0.11,8.35835064298995e-12,0.906443217641028,0.84849121503334,0.0126804347826087,0.906293834218718,0,1,0,0
65,2.067,922335.655,4714074.05,2.22795698924731,2361,28,-0.00103,0.11,8.35819373582633e-12,0.999998102690022,0.693147180781053,0.02761875,0.930884552597011,0,1,0,0
41.1999999999998,1.749,923806.316,4713398.84,2.42688172043011,2364,33,0.00024,0.12,8.35834337734561e-12,0.771021085233429,0.962167079423858,0.00681973684210526,0.893958022380156,0,1,0,0
6,0.538,924233.159,4714246.3,2.33118279569892,2387,27,0.00117,0.09,8.35819401526395e-12,0.999999983283612,0.693147180781502,0.0346189655172414,0.911308619606917,0,1,0,0
25.4000000000001,0.194,924482.376,4712594.05,2.47311827956989,2392,40,0.00024,0.09,0.244747526943311,0.75525274888697,0.683394087398127,0.00361477272727273,0.889143236961589,0,1,0,0
19,0.835,928337.359,4712817.87,2.29677419354839,2300,31,-0.00054,0.11,8.35849588866483e-12,1.00000555004127,0.693147180777659,0.0160076923076923,0.900467707627898,0,1,0,0
14.5999999999999,1.942,928867.546,4713016.91,2.19677419354839,2349,38,0.07,0.07,8.35846563746595e-12,1.00000796561775,0.693147180773577,0.0495609375,0.928570102762011,0,1,0,0
